Time,Run#,Tgin,Hgin,Tgout,Hgout,PH,Tliq,Fliq,CO2in,Co2out,dp,vg,Tliqo,Dustrak,cmd,nc,vol,mass,ambpm,flowrate1,pmmghour,fliqkghour,driftmgkg,type,packing,disb,medium,loading,co2diff
12:01,amb,25.9,71.1,26.4,63.7,12.09,23.4,0,392,392,0,0,,0.007,,,,7,0.008,0.3,23.76,0,#DIV/0!,ct,o,hc,taurate,6,0
12:35,CT1,25.2,59.9,22.3,85,11.87,21.5,55,390,312,1,10,,0.022,,,,55,0.008,0.3,14.04,3808.8,0.0036862,ct,o,hc,taurate,6,78
12:45,CT2,25.2,59.4,22.1,84.8,11.79,21.3,40,394,323,1,10,,0.013,,,,22,0.008,0.3,9.72,2975.76,0.003266392,ct,o,hc,taurate,6,71
13:00,CT3,25.1,60.1,21.9,84.5,11.74,21,30,393,334,1,10,,0.009,,,,8,0.008,0.3,3.024,2052,0.001473684,ct,o,hc,taurate,6,59
13:15,CT4,25,60.6,21.9,82.3,11.69,21.1,15,395,347,1,10,,0.007,,,,7,0.008,0.12,0,954.72,0,ct,o,hc,taurate,6,48
11:45,CT9,23.3,50,20,77.1,11.62,18.4,40,397,267,0,4,,0.022,,,,30,0.008,0,5.832,2995.2,0.001947115,ct,o,hc,taurate,12,130
10:53,amb,22.8,53.8,24.2,77.5,11.75,22.1,40,396,229,0,0,,0.009,,,,8,0.008,0.18,19.656,3002.4,0.006546763,ct,o,hc,taurate,12,167
11:06,CT5,22.6,53,21.9,77.2,11.73,21.1,40,399,308,0,6,,0.014,,,,26,0.003,0.39,41.04,2995.2,0.013701923,ct,o,hc,taurate,12,91
11:20,CT6,22.8,52.1,19.3,81.2,11.71,18.7,40,400,346,1,13,,0.019,,,,25,0.003,0.6,181.44,2995.2,0.060576923,ct,o,hc,taurate,12,54
11:30,CT7,23.6,50.4,19.2,80.6,11.67,18.4,40,410,360,2,20,,0.07,,,,10,0.003,0.72,21.6,2995.2,0.007211538,ct,o,hc,taurate,12,50
11:38,CT8,23.6,49.3,19.1,79.4,11.65,18.4,40,400,370,4,24,,0.02,,,,33,0.003,0.3,3.24,2995.2,0.001081731,ct,o,hc,taurate,12,30
13:00,amb,27,36.6,21,74.1,11.13,22.1,0,385,358,0,10,,0.003,66,6.13e+03(#/cm³),1.61e+09(nm³/cm³),1.93(µg/m³),0.003,0.3,59.4,0,#DIV/0!,ct,o,hc,taurate,12,27
13:13,ct10,27.5,38,22,75.3,11.16,20.1,50,386,332,1,10,,0.055,35,1.43e+04(#/cm³),1.00e+10(nm³/cm³), 12.0(µg/m³),0.01,0.3,54,3996,0.013513514,ct,o,hc,taurate,6,54
13:20,ct11,27.7,35.7,21.8,75.1,11.16,20,40,384,333,1,10,,0.05,35,1.61e+04(#/cm³),1.28e+10(nm³/cm³), 15.4(µg/m³),0.01,0.3,48.6,3098.88,0.015683086,ct,o,hc,taurate,6,51
13:27,ct12,27.7,34.8,21.6,73.1,11.16,19.7,30,386,342,1,10,,0.045,34,1.75e+04(#/cm³),1.23e+10(nm³/cm³), 14.8(µg/m³),0.01,0.3,16.416,2131.2,0.007702703,ct,o,hc,taurate,6,44
13:36,ct13,27.9,33.3,21.6,70.1,11.15,19.7,15,388,352,1,10,,0.038,33,1.82e+04(#/cm³),1.19e+10(nm³/cm³), 14.3(µg/m³),0.01,0.12,22.68,1008,0.0225,ct,o,hc,taurate,6,36
11:00,ct14,26,45,23,71,11.08,19.9,40,384,287,,4,,0.035,43,1.91e+03(#/cm³),1.46e+09(nm³/cm³),1.75(µg/m³),0.01,0.18,37.584,3096,0.012139535,ct,o,hc,taurate,6,97
11:06,ct15,26.4,45,22.2,75,11.08,20,40,383,308,,6,,0.029,45,1.24e+03(#/cm³),1.04e+09(nm³/cm³),1.24(µg/m³),0.01,0.36,32.832,3088.8,0.010629371,ct,o,hc,taurate,6,75
11:13,ct16,26.4,44.2,21.4,78.9,11.07,20,40,381,338,1,12,,0.016,50,1.51e+03(#/cm³),1.10e+09(nm³/cm³),1.33(µg/m³),0.01,0.57,31.104,3081.6,0.010093458,ct,o,hc,taurate,6,43
11:18,ct17,26.5,43.9,21.1,79,11.07,20,40,379,347,2,19,,0.012,46,1.74e+03(#/cm³),1.09e+09(nm³/cm³),1.31(µg/m³),0.01,0.72,0,3081.6,0,ct,o,hc,taurate,6,32
11:24,ct18,26.8,42.5,21.2,78,11.06,20,40,377,352,4,24,,0.01,50,1.34e+03(#/cm³),7.27e+08(nm³/cm³),0.873(µg/m³),0.01,0,10.8,3081.6,0.003504673,ct,o,hc,taurate,6,25
,amb,26.8,42.5,21.2,78,11.06,20,0,377,377,4,24,,0.01,88,1.78e+03(#/cm³),4.50e+09(nm³/cm³),5.40(µg/m³),0.01,0.3,27,0,#DIV/0!,ct,o,hc,taurate,12,0
12:14,CT19,26.5,31.7,20.2,72.2,10.88,18,55,399,337,1.5,10,,0.025,25,1.74e+04(#/cm³),4.26e+09(nm³/cm³),5.11(µg/m³),0.022,0.3,14.04,3952.8,0.003551913,ct,o,hc,taurate,12,62
