tgin,hgin,tgout,hgout,ph,tliq,co2in,co2out,dp,vg,dustrak,cmd,nc,mass,ambpm,driftmgkg,loading,co2diff,fliq,packing,medium,disb,device,driftmgkg2
23.3,64.9,24,91.5,12.15,24.8,398,285,0,4,0.0151375,62,1800,1.34,0.003,0.0090825,low,113,400,none,taurate,spiral,rls,2.27063E-05
25.7,57.2,24.1,85.6,12.13,24.3,394,330,0,8,0.0151375,162,1150,2.69,0.003,0.018165,low,64,400,none,taurate,spiral,rls,4.54125E-05
26.5,53.6,24.2,87.6,12.11,24,394,288,0,4,0.0151375,132,578.9,0.765,0.003,0.0090825,low,106,400,none,taurate,spiral,rls,2.27063E-05
28.6,46.7,24.6,78.3,12.09,23.9,390,353,0,14,0.0151375,102,305.9,0.192,0.003,0.03178875,low,37,400,none,taurate,spiral,rls,7.94719E-05
28.9,33.7,25.1,80.6,11.07,24,390,295,0,4,0.022,75,244.6,0.458,0.003,0.0132,low,95,400,none,taurate,spiral,rls,0.000033
29.9,31.7,24.9,75,11.08,23.9,388,331,0,8,0.015,53,430,0.602,0.003,0.018,low,57,400,none,taurate,spiral,rls,0.000045
30.9,31.4,25.2,70.8,11.08,23.7,383,343,1,12,0.007,46,539.6,0.429,0.003,0.0126,low,40,400,none,taurate,spiral,rls,0.0000315
31.4,32.8,25.3,63.5,11.12,23.4,392,359,1,14,0.005,27,2470,0.555,0.003,0.0105,low,33,400,none,taurate,spiral,rls,0.00002625
27.1,46.7,21.9,79.6,10.84,25.9,395,300,0,4,0.0151375,41.45,5911.557,3.63255,3.4703625,0.0090825,medium,95,400,none,taurate,spiral,rls,2.27063E-05
27.7,44.5,22.2,74.2,10.8,27.6,392,342,1,8,0.0151375,41.45,5911.557,3.63255,3.4703625,0.018165,medium,50,400,none,taurate,spiral,rls,4.54125E-05
22.3,63.1,20.2,82.9,10.61,29.9,408,385,2,14,0.009,34,12400,7.91,7.5,0.0189,medium,23,400,none,taurate,spiral,rls,0.00004725
21.4,65.1,19.9,85.1,10.61,29.9,413,388,1,12,0.012,34,10600,9.61,7.5,0.0216,medium,25,400,none,taurate,spiral,rls,0.000054
20.8,67,19.8,86.7,10.61,30,411,376,0,8,0.02,31,13900,8.88,7.5,0.024,medium,35,400,none,taurate,spiral,rls,0.00006
20.4,68.6,20.1,88,10.6,30.3,424,338,0,4,0.026,32,12600,6.57,7.5,0.0156,medium,86,400,none,taurate,spiral,rls,0.000039
17.8,63.1,NA,89.8,11.12,20.9,391,290,45,8,0.007,31.6,11500,2.98,0.004,0.0084,low,101,70,ss304,taurate,distbtr,pc,0.00012
17.8,58.5,NA,91.7,11.08,24.5,387,279,47,8,0.007,30.1,12300,4.06,0.004,0.0084,low,108,80,ss304,taurate,distbtr,pc,0.000105
