"","device","packing","disb","medium","fliq","avgdrift","avgairflowrate","avgsolventloss","avgco2diff"
"1","ct","fill_block_n","fc","taurate",5,0.0385,0.9048,13.8688,15.1355
"2","ct","fill_block_n","hc","taurate",30,0.0286,0.5278,61.7544,19.4113
"3","ct","fill_block_n","hc","taurate",40,0.0293,0.5,84.27,22.1354
"4","ct","fill_block_n","hc","taurate",55,0.0293,0.5,115.8712,22.3958
"5","ct","fill_block_n","sp_3arm","taurate",3,0.0285,0.55,6.1487,9.1438
"6","ct","fill_block_n","sp_3arm","taurate",5,0.0304,0.925,10.962,11.8554
"7","ct","fill_block_n","sp_3arm","taurate",10,0.0315,0.7262,22.685,16.2836
"8","ct","fill_block_n","sp_3arm","taurate",55,0.038,1,150.315,9.8483
"9","ct","fill_block_o","hc","taurate",5,0.0285,0.5,10.2642,12.9303
"10","ct","fill_block_o","hc","taurate",10,0.0293,0.5,21.0675,18.4949
"11","ct","fill_block_o","hc","taurate",15,0.0365,0.8333,39.42,10.1814
"12","ct","fill_block_o","hc","taurate",30,0.05,0.8333,108,13.0968
"13","ct","fill_block_o","hc","taurate",40,0.0331,0.9615,95.3793,16.7859
"14","ct","fill_block_o","hc","taurate",55,0.051,0.8333,201.96,16.5095
"15","pc","curtin_uni","distbtr","caustic",50,0.0192,1.5098,69.12,21.7848
"16","pc","curtin_uni","distbtr","caustic",80,0.0216,1.5098,124.416,25.066
"17","pc","curtin_uni","distbtr","caustic",100,0.028,2.076,201.96,25.9309
"18","pc","curtin_uni","distbtr","caustic",120,0.0216,1.5098,186.624,25.1323
"19","pc","curtin_uni","distbtr","taurate",10,0.0216,1.2582,15.5185,15.6635
"20","pc","curtin_uni","distbtr","taurate",50,0.0491,1.73,176.59,11.2387
"21","pc","curtin_uni","distbtr","taurate",70,0.0509,2.0382,256.613,17.2783
"22","pc","curtin_uni","distbtr","taurate",80,0.0459,2.0382,264.3024,14.4101
"23","pc","curtin_uni","distbtr","taurate",100,0.0374,1.8243,269.5566,15.8914
"24","pc","curtin_uni","distbtr","taurate",120,0.0525,1.9951,453.676,16.4964
"25","pc","plastic","distbtr","caustic",80,0.0348,1.5098,200.448,22.2798
"26","pc","plastic","distbtr","caustic",100,0.051,1.7929,367.2,26.3889
"27","pc","plastic","distbtr","taurate",10,0.0196,1.6985,14.094,13.0054
"28","pc","plastic","distbtr","taurate",50,0.0182,1.6985,65.61,12.8442
"29","pc","plastic","distbtr","taurate",70,0.0212,1.6985,106.596,14.7199
"30","pc","plastic","distbtr","taurate",80,0.0207,2.1231,119.1456,13.4661
"31","pc","plastic","distbtr","taurate",100,0.0189,1.6985,136.08,16.0816
"32","pc","plastic","distbtr","taurate",120,0.0241,2.0245,208.4204,20.6547
"33","pc","ss304","distbtr","taurate",70,0.0115,1.5098,57.8988,23.0109
"34","pc","ss304","distbtr","taurate",80,0.013,1.4626,75.0438,27.7524
"35","pc","ss304","distbtr","taurate",100,0.0288,1.5098,207.2272,26.244
"36","pc","ss304","distbtr","taurate",120,0.023,1.4217,198.3595,24.5271
"37","rls","none","spiral","taurate",400,0.0164,0.8948,472.662,15.4452
